node,centrality,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
11439491700,closeness,,,,,,,,,,,0.11174027935069837,0.09525412319084484,
11439491700,degree,,,,,,,,2.0,2.0,4.0,4.0,4.0,
11439491700,eigenvector,,,,,,,,,,,0.001120006924188415,0.0008133083390345582,
11439491700,eigenvector_rank,,,,,,,,,,,121.0,136.0,
11439491700,giant,,,,,,,,0.0,0.0,0.0,1.0,1.0,
11439491700,num_2nd_neighbors,,,,,,,,0.0,0.0,8.0,9.0,9.0,
11440095600,betweenness,,,,,,,,,,,0.046256916815292454,0.11312423778104382,
11440095600,betweenness_rank,,,,,,,,,,,61.0,48.0,
11440095600,closeness,,,,,,,,,,,0.10102389078498293,0.08794282162834058,
11440095600,degree,,,,,,,,2.0,2.0,2.0,4.0,4.0,2.0
11440095600,eigenvector,,,,,,,,,,,0.0001605213943491323,0.00014849764633665695,
11440095600,eigenvector_rank,,,,,,,,,,,190.0,173.0,
11440095600,giant,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0
11440095600,num_2nd_neighbors,,,,,,,,0.0,0.0,2.0,7.0,7.0,3.0
11440275400,betweenness,,,,,,,,,,,,,
11440275400,betweenness_rank,,,,,,,,,,,,,
11440275400,closeness,,,,,,,,,,,,,
11440275400,degree,,,,,,,,,,0.0,2.0,2.0,2.0
11440275400,eigenvector,,,,,,,,,,,,,
11440275400,eigenvector_rank,,,,,,,,,,,,,
11440275400,giant,,,,,,,,,,0.0,0.0,0.0,0.0
11440275400,num_2nd_neighbors,,,,,,,,,,0.0,4.0,5.0,4.0
11440523100,betweenness,,,,,,,,,,,,,
11440523100,betweenness_rank,,,,,,,,,,,,,
11440523100,closeness,,,,,,,,,,,,,
11440523100,degree,,,,,,,1.0,1.0,1.0,1.0,1.0,,
11440523100,eigenvector,,,,,,,,,,,,,
11440523100,eigenvector_rank,,,,,,,,,,,,,
11440523100,giant,,,,,,,0.0,0.0,0.0,0.0,0.0,,
11440523100,num_2nd_neighbors,,,,,,,1.0,0.0,0.0,0.0,0.0,,
11539472700,betweenness,,,,,,,,,,,,,
11539472700,betweenness_rank,,,,,,,,,,,,,
11539472700,closeness,,,,,,,,,,,,,
11539472700,degree,,,,,,,,,,,,2.0,2.0
11539472700,eigenvector,,,,,,,,,,,,,
11539472700,eigenvector_rank,,,,,,,,,,,,,
11539472700,giant,,,,,,,,,,,,0.0,0.0
11539472700,num_2nd_neighbors,,,,,,,,,,,,0.0,0.0
11540715700,betweenness,,,,,,,,,,,,,
11540715700,betweenness_rank,,,,,,,,,,,,,
11540715700,closeness,,,,,,,,,,,,,
11540715700,degree,0.0,0.0,0.0,,,,,,,,,,
